agecat,sizecat,firmsize,emplsize
younger (<8),<10,0.929384,0.546177
younger (<8),10 to 49,0.061309,0.222631
younger (<8),50 to 99,0.00529,0.06055
younger (<8),100 to 249,0.002691,0.059959
younger (<8),250 to 499,0.00077,0.036051
younger (<8),500+,0.000544,0.07462
older (8 to 19),<10,0.81838,0.290793
older (8 to 19),10 to 49,0.143951,0.249046
older (8 to 19),50 to 99,0.018117,0.084886
older (8 to 19),100 to 249,0.011724,0.09781
older (8 to 19),250 to 499,0.004054,0.066951
older (8 to 19),500+,0.003774,0.210514
