date,alp
1959 Q3,33.5
1959 Q4,34.1
1960 Q1,34.8
1960 Q2,34.5
1960 Q3,34.9
1960 Q4,35
1961 Q1,35.4
1961 Q2,35.5
1961 Q3,35.3
1961 Q4,35.3
1962 Q1,35.4
1962 Q2,35.6
1962 Q3,35.8
1962 Q4,35.8
1963 Q1,36.3
1963 Q2,37.6
1963 Q3,37.6
1963 Q4,38.3
1964 Q1,38.6
1964 Q2,39
1964 Q3,39
1964 Q4,39.3
1965 Q1,39.3
1965 Q2,39.4
1965 Q3,39.7
1965 Q4,39.8
1966 Q1,39.7
1966 Q2,39.8
1966 Q3,40
1966 Q4,40.1
1967 Q1,40.7
1967 Q2,41.3
1967 Q3,41.5
1967 Q4,41.8
1968 Q1,43.4
1968 Q2,43.5
1968 Q3,44.3
1968 Q4,44.3
1969 Q1,44.3
1969 Q2,44.6
1969 Q3,44.8
1969 Q4,45.2
1970 Q1,44.8
1970 Q2,45.9
1970 Q3,46.3
1970 Q4,47.2
1971 Q1,47.2
1971 Q2,48.1
1971 Q3,49.1
1971 Q4,49.5
1972 Q1,49.3
1972 Q2,50.5
1972 Q3,50.7
1972 Q4,51.3
1973 Q1,53.4
1973 Q2,53.4
1973 Q3,52.8
1973 Q4,52.6
1974 Q1,51.2
1974 Q2,51.9
1974 Q3,52.3
1974 Q4,51.4
1975 Q1,51.6
1975 Q2,50.9
1975 Q3,50.7
1975 Q4,51.5
1976 Q1,52.3
1976 Q2,52.3
1976 Q3,52.9
1976 Q4,53.9
1977 Q1,54.2
1977 Q2,53.5
1977 Q3,53.8
1977 Q4,54.6
1978 Q1,55
1978 Q2,55.5
1978 Q3,56.1
1978 Q4,56.3
1979 Q1,55.8
1979 Q2,58.1
1979 Q3,56.9
1979 Q4,57.2
1980 Q1,56.6
1980 Q2,55.9
1980 Q3,56.2
1980 Q4,55.8
1981 Q1,56.2
1981 Q2,56.9
1981 Q3,57.9
1981 Q4,58.4
1982 Q1,58.6
1982 Q2,59.6
1982 Q3,60.2
1982 Q4,60.9
1983 Q1,62.4
1983 Q2,62.7
1983 Q3,63
1983 Q4,63
1984 Q1,63.2
1984 Q2,62.2
1984 Q3,62.3
1984 Q4,63.1
1985 Q1,63.7
1985 Q2,65
1985 Q3,64.9
1985 Q4,64.9
1986 Q1,65.3
1986 Q2,65.9
1986 Q3,66.1
1986 Q4,66.9
1987 Q1,67.2
1987 Q2,67.9
1987 Q3,68.7
1987 Q4,68.8
1988 Q1,69.4
1988 Q2,69.4
1988 Q3,70
1988 Q4,70.1
1989 Q1,69.8
1989 Q2,69.8
1989 Q3,69.7
1989 Q4,69.7
1990 Q1,70.1
1990 Q2,70.3
1990 Q3,69.8
1990 Q4,70.1
1991 Q1,70.5
1991 Q2,71.2
1991 Q3,71.9
1991 Q4,72.5
1992 Q1,72.7
1992 Q2,73.1
1992 Q3,73.9
1992 Q4,74.9
1993 Q1,75.5
1993 Q2,75.9
1993 Q3,76.5
1993 Q4,77
1994 Q1,77.6
1994 Q2,78.3
1994 Q3,78.7
1994 Q4,79.1
1995 Q1,79.1
1995 Q2,78.9
1995 Q3,79.3
1995 Q4,79.1
1996 Q1,79.8
1996 Q2,80.1
1996 Q3,80.4
1996 Q4,80.7
1997 Q1,81.8
1997 Q2,82
1997 Q3,82.1
1997 Q4,82.5
1998 Q1,83.3
1998 Q2,84.1
1998 Q3,84.5
1998 Q4,84.9
1999 Q1,84.9
1999 Q2,85
1999 Q3,86.2
1999 Q4,87.1
2000 Q1,87.8
2000 Q2,87.8
2000 Q3,87.7
2000 Q4,87.8
2001 Q1,88.6
2001 Q2,89.1
2001 Q3,89.6
2001 Q4,89.6
2002 Q1,89.9
2002 Q2,90.1
2002 Q3,90.8
2002 Q4,91
2003 Q1,91.7
2003 Q2,92.3
2003 Q3,93
2003 Q4,93.5
2004 Q1,93.4
2004 Q2,93.8
2004 Q3,93.6
2004 Q4,93.4
2005 Q1,93.9
2005 Q2,95
2005 Q3,95.9
2005 Q4,97.7
2006 Q1,97.2
2006 Q2,97
2006 Q3,96.8
2006 Q4,97
2007 Q1,98.1
2007 Q2,98.5
2007 Q3,98.8
2007 Q4,99.1
2008 Q1,99.2
2008 Q2,98.4
2008 Q3,97.4
2008 Q4,95.7
2009 Q1,94.4
2009 Q2,95
2009 Q3,95.2
2009 Q4,95.3
2010 Q1,96.1
2010 Q2,96.4
2010 Q3,96.5
2010 Q4,96.9
2011 Q1,97.1
2011 Q2,97.1
2011 Q3,97.7
2011 Q4,97.6
2012 Q1,98
2012 Q2,97.1
2012 Q3,97.8
2012 Q4,97.1
2013 Q1,97.8
2013 Q2,97.7
2013 Q3,97.9
2013 Q4,97.8
2014 Q1,98
2014 Q2,98.4
2014 Q3,99
2014 Q4,99.5
2015 Q1,99.1
2015 Q2,100
2015 Q3,99.6
2015 Q4,99.4
2016 Q1,99.6
2016 Q2,99.5
2016 Q3,100
2016 Q4,100.8
2017 Q1,100.8
2017 Q2,100.7
2017 Q3,101.2
2017 Q4,101.4
2018 Q1,100.8
2018 Q2,101.1
2018 Q3,101.6
