year,alp
1960,34.8
1961,35.4
1962,35.7
1963,37.4
1964,39
1965,39.6
1966,39.9
1967,41.4
1968,43.9
1969,44.8
1970,46.1
1971,48.5
1972,50.5
1973,53.1
1974,51.7
1975,51.2
1976,52.9
1977,54
1978,55.8
1979,57
1980,56.2
1981,57.4
1982,59.9
1983,62.8
1984,62.7
1985,64.7
1986,66.1
1987,68.2
1988,69.8
1989,69.8
1990,70.1
1991,71.6
1992,73.7
1993,76.3
1994,78.4
1995,79.1
1996,80.3
1997,82.2
1998,84.2
1999,85.8
2000,87.8
2001,89.3
2002,90.5
2003,92.7
2004,93.6
2005,95.7
2006,97.1
2007,98.7
2008,97.7
2009,95
2010,96.5
2011,97.4
2012,97.6
2013,97.8
2014,98.8
2015,99.6
2016,100
2017,101.1
2018,101.3
