date,v
2001 MAY,680
2001 JUN,673
2001 JUL,661
2001 AUG,661
2001 SEP,637
2001 OCT,625
2001 NOV,602
2001 DEC,607
2002 JAN,616
2002 FEB,619
2002 MAR,619
2002 APR,612
2002 MAY,616
2002 JUN,612
2002 JUL,613
2002 AUG,609
2002 SEP,609
2002 OCT,608
2002 NOV,603
2002 DEC,603
2003 JAN,593
2003 FEB,592
2003 MAR,585
2003 APR,588
2003 MAY,579
2003 JUN,575
2003 JUL,578
2003 AUG,593
2003 SEP,605
2003 OCT,611
2003 NOV,614
2003 DEC,616
2004 JAN,616
2004 FEB,623
2004 MAR,630
2004 APR,637
2004 MAY,640
2004 JUN,652
2004 JUL,654
2004 AUG,652
2004 SEP,653
2004 OCT,656
2004 NOV,661
2004 DEC,668
2005 JAN,657
2005 FEB,643
2005 MAR,635
2005 APR,641
2005 MAY,641
2005 JUN,633
2005 JUL,625
2005 AUG,622
2005 SEP,610
2005 OCT,606
2005 NOV,608
2005 DEC,618
2006 JAN,610
2006 FEB,597
2006 MAR,597
2006 APR,596
2006 MAY,603
2006 JUN,608
2006 JUL,611
2006 AUG,612
2006 SEP,620
2006 OCT,619
2006 NOV,619
2006 DEC,622
2007 JAN,627
2007 FEB,642
2007 MAR,646
2007 APR,650
2007 MAY,658
2007 JUN,669
2007 JUL,680
2007 AUG,682
2007 SEP,684
2007 OCT,687
2007 NOV,686
2007 DEC,686
2008 JAN,691
2008 FEB,701
2008 MAR,693
2008 APR,678
2008 MAY,656
2008 JUN,642
2008 JUL,625
2008 AUG,616
2008 SEP,599
2008 OCT,564
2008 NOV,525
2008 DEC,492
2009 JAN,468
2009 FEB,459
2009 MAR,453
2009 APR,444
2009 MAY,432
2009 JUN,433
2009 JUL,442
2009 AUG,441
2009 SEP,441
2009 OCT,443
2009 NOV,453
2009 DEC,456
2010 JAN,458
2010 FEB,460
2010 MAR,466
2010 APR,479
2010 MAY,484
2010 JUN,482
2010 JUL,463
2010 AUG,459
2010 SEP,462
2010 OCT,477
2010 NOV,482
2010 DEC,489
2011 JAN,484
2011 FEB,479
2011 MAR,471
2011 APR,461
2011 MAY,461
2011 JUN,460
2011 JUL,464
2011 AUG,467
2011 SEP,473
2011 OCT,466
2011 NOV,465
2011 DEC,469
2012 JAN,467
2012 FEB,464
2012 MAR,464
2012 APR,470
2012 MAY,475
2012 JUN,481
2012 JUL,484
2012 AUG,490
2012 SEP,494
2012 OCT,497
2012 NOV,501
2012 DEC,497
2013 JAN,500
2013 FEB,504
2013 MAR,514
2013 APR,522
2013 MAY,534
2013 JUN,540
2013 JUL,536
2013 AUG,549
2013 SEP,553
2013 OCT,569
2013 NOV,573
2013 DEC,581
2014 JAN,595
2014 FEB,617
2014 MAR,639
2014 APR,652
2014 MAY,660
2014 JUN,667
2014 JUL,680
2014 AUG,685
2014 SEP,697
2014 OCT,702
2014 NOV,708
2014 DEC,716
2015 JAN,726
2015 FEB,735
2015 MAR,728
2015 APR,727
2015 MAY,728
2015 JUN,738
2015 JUL,740
2015 AUG,739
2015 SEP,735
2015 OCT,739
2015 NOV,746
2015 DEC,756
2016 JAN,751
2016 FEB,752
2016 MAR,745
2016 APR,746
2016 MAY,746
2016 JUN,746
2016 JUL,750
2016 AUG,752
2016 SEP,759
2016 OCT,755
2016 NOV,754
2016 DEC,752
2017 JAN,765
2017 FEB,774
2017 MAR,794
2017 APR,787
2017 MAY,786
2017 JUN,782
2017 JUL,791
2017 AUG,798
2017 SEP,801
2017 OCT,811
2017 NOV,816
2017 DEC,822
2018 JAN,818
2018 FEB,820
2018 MAR,818
2018 APR,825
2018 MAY,836
2018 JUN,840
2018 JUL,844
2018 AUG,847
2018 SEP,852
2018 OCT,851
2018 NOV,852
2018 DEC,861
2019 JAN,849
2019 FEB,846
2019 MAR,840
2019 APR,835
2019 MAY,825
2019 JUN,819
2019 JUL,815
2019 AUG,813
