date	recession
1-Jan-1955	0
1-Apr-1955	0
1-Jul-1955	0
1-Oct-1955	0
1-Jan-1956	0
1-Apr-1956	1
1-Jul-1956	1
1-Oct-1956	0
1-Jan-1957	0
1-Apr-1957	0
1-Jul-1957	0
1-Oct-1957	0
1-Jan-1958	0
1-Apr-1958	0
1-Jul-1958	0
1-Oct-1958	0
1-Jan-1959	0
1-Apr-1959	0
1-Jul-1959	0
1-Oct-1959	0
1-Jan-1960	0
1-Apr-1960	0
1-Jul-1960	0
1-Oct-1960	0
1-Jan-1961	0
1-Apr-1961	0
1-Jul-1961	1
1-Oct-1961	1
1-Jan-1962	0
1-Apr-1962	0
1-Jul-1962	0
1-Oct-1962	0
1-Jan-1963	0
1-Apr-1963	0
1-Jul-1963	0
1-Oct-1963	0
1-Jan-1964	0
1-Apr-1964	0
1-Jul-1964	0
1-Oct-1964	0
1-Jan-1965	0
1-Apr-1965	0
1-Jul-1965	0
1-Oct-1965	0
1-Jan-1966	0
1-Apr-1966	0
1-Jul-1966	0
1-Oct-1966	0
1-Jan-1967	0
1-Apr-1967	0
1-Jul-1967	0
1-Oct-1967	0
1-Jan-1968	0
1-Apr-1968	0
1-Jul-1968	0
1-Oct-1968	0
1-Jan-1969	0
1-Apr-1969	0
1-Jul-1969	0
1-Oct-1969	0
1-Jan-1970	0
1-Apr-1970	0
1-Jul-1970	0
1-Oct-1970	0
1-Jan-1971	0
1-Apr-1971	0
1-Jul-1971	0
1-Oct-1971	0
1-Jan-1972	0
1-Apr-1972	0
1-Jul-1972	0
1-Oct-1972	0
1-Jan-1973	0
1-Apr-1973	0
1-Jul-1973	1
1-Oct-1973	1
1-Jan-1974	1
1-Apr-1974	0
1-Jul-1974	0
1-Oct-1974	0
1-Jan-1975	0
1-Apr-1975	1
1-Jul-1975	1
1-Oct-1975	0
1-Jan-1976	0
1-Apr-1976	0
1-Jul-1976	0
1-Oct-1976	0
1-Jan-1977	0
1-Apr-1977	0
1-Jul-1977	0
1-Oct-1977	0
1-Jan-1978	0
1-Apr-1978	0
1-Jul-1978	0
1-Oct-1978	0
1-Jan-1979	0
1-Apr-1979	0
1-Jul-1979	0
1-Oct-1979	0
1-Jan-1980	1
1-Apr-1980	1
1-Jul-1980	1
1-Oct-1980	1
1-Jan-1981	1
1-Apr-1981	0
